areaCode,lat,long,Country,Source
475,41.29179813,-73.12245313,US,Npas analysis - overlays of existing area codes in https://github.com/ravisorg/Area-Code-Geolocation-Database
478,32.730835,-83.61615,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
479,35.849136,-93.987424,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
480,33.43175143,-111.7910643,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
484,40.251023,-75.457804,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
501,34.76818714,-92.42182286,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
502,38.227575,-85.316345,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
503,45.34785933,-122.7965427,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
504,29.94127286,-90.09217714,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
505,35.54517333,-107.1487933,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
506,46.56609222,-66.06047556,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
507,44.04838833,-92.93543,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
508,42.00699273,-71.22419455,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
509,46.76512444,-118.7341211,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
510,37.43248,-121.8074523,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
512,30.359314,-97.772174,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
513,39.34930286,-84.49883429,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
514,46.126976,-73.355944,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
515,41.840495,-93.75476,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
516,40.70185474,-73.59814053,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
517,42.48702833,-84.13755167,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
518,42.819186,-73.833068,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
519,43.2104985,-81.1431145,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
520,32.11801571,-110.9764843,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
530,39.33882286,-121.5665943,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
531,41.23897143,-96.88106286,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
534,45.25371,-90.7018125,US,Npas analysis - overlays of existing area codes in https://github.com/ravisorg/Area-Code-Geolocation-Database
539,36.1754425,-95.783525,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
540,37.82954143,-79.50405714,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
541,43.77279625,-123.1944163,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
548,43.23383118,-81.23092235,CA,Npas analysis - overlays of existing area codes in https://github.com/ravisorg/Area-Code-Geolocation-Database
551,40.83885,-74.04567813,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
559,36.50766,-119.5360325,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
561,26.55579333,-80.13544083,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
562,33.89795286,-118.0842771,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
563,41.763524,-90.59797,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
564,47.41118222,-122.5702911,US,Npas analysis - overlays of existing area codes in https://github.com/ravisorg/Area-Code-Geolocation-Database
567,41.12878286,-83.21476,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
570,41.238118,-76.10365,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
571,38.8324725,-77.270965,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
573,38.27809667,-91.34191333,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
574,41.672602,-86.066116,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
575,33.02238333,-104.6389383,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
579,45.75695865,-73.27781027,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
580,35.17099167,-97.964955,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
581,47.26140744,-71.35332372,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
585,43.17191333,-77.58194333,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
586,42.53975857,-82.97031714,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
587,52.68835364,-113.7020895,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
601,32.19705429,-89.96107286,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
602,33.44838,-112.07404,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
603,43.04893875,-71.33472,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
604,49.30576625,-122.9847563,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
605,44.472588,-99.176772,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
606,38.47841,-82.63794,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
607,42.20970667,-76.40743667,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
608,43.042495,-89.563915,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
609,39.9697625,-74.7087,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
610,40.251023,-75.457804,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
612,44.9708,-93.32084,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
613,44.93638471,-76.40218471,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
614,40.008745,-83.0058775,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
615,36.10672375,-86.5878425,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
616,42.915765,-85.73082,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
617,42.34858182,-71.10012727,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
618,38.56595375,-89.9325675,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
619,32.72058333,-117.0466042,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
620,38.0473075,-98.7502925,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
623,33.5849,-112.2981217,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
626,34.0783752,-118.0051808,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
628,37.927565,-122.517545,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
629,36.10672375,-86.5878425,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
630,41.8771732,-88.0948236,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
631,40.79404826,-73.20643,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
636,38.70597833,-90.598965,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
639,51.636756,-106.001166,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
640,39.9697625,-74.7087,US,Npas analysis - overlays of existing area codes in https://github.com/ravisorg/Area-Code-Geolocation-Database
641,42.07433667,-92.84010667,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
646,40.71427,-74.00597,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
647,43.70011,-79.4163,CA,https://github.com/ravisorg/Area-Code-Geolocation-Database
650,37.53483375,-122.2846556,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
651,44.91242571,-93.08408786,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
657,33.80470067,-117.9245227,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
660,38.70446,-93.22826,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
661,35.11786571,-118.7745786,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
662,34.10931429,-89.63233286,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
667,39.24997871,-76.58799065,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
669,37.26716556,-121.8848322,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
678,33.81447478,-84.36085522,US,https://github.com/ravisorg/Area-Code-Geolocation-Database
